Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows Server 2022,21H2,Standard,2023/02/21,20348.1547,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows Server 2022,21H2,Standard,2023/01/17,20348.1487,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,22H2,Pro,2023/01/17,19045.2486,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2023/02/21,19044.2604,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2023/01/17,19044.2486,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/12/20,19044.2364,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/11/15,19044.2251,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/10/18,19044.213,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
