Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2021/03/09,19041.867,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2021/02/09,19041.804,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2021/02/09,19041.804,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2021/01/12,19041.746,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2021/01/12,19041.746,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2020/12/08,19041.685,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2020/12/08,19041.685,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2020/11/19,19041.631,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2020/11/10,19041.63,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2020/10/13,19041.572,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2020/09/08,19041.508,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2020/08/11,19041.45,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
