Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2020/07/14,18362.959,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2020/05/12,18362.836,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2020/03/12,18362.72,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2020/02/11,18362.657,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2019/12/10,18362.535,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2019/11/12,18362.476,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2019/09/10,18362.356,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2019/03/29,18362.3,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2019/07/09,18362.239,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2019/06/11,18362.175,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2020/10/13,18362.1139,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2020/09/08,18362.1082,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
