Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 11,21H2,Pro,2021/12/14,22000.376,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 11,21H2,Pro,2021/11/09,22000.318,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 11,21H2,Pro,2021/09/16,22000.194,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
