Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2021/04/13,19043.928,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2022/11/15,19043.2251,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2022/10/18,19043.213,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2022/09/20,19043.2006,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2022/07/19,19043.1826,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2021/07/13,19043.111,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2021/05/11,19041.985,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2021/05/11,19041.985,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2021/04/13,19041.928,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2021/04/13,19041.928,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2021/03/09,19041.867,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2021/03/09,19041.867,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2021/02/09,19041.804,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2021/01/12,19041.746,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2020/12/08,19041.685,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2020/11/10,19041.63,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
