Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,24H2,Pro,2024/10/2,26100.1742,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,22H2,Pro,2022/12/20,22621.963,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,22H2,Pro,2022/11/15,22621.819,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,22H2,Pro,2022/10/18,22621.674,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,22H2,Pro,2022/09/20,22621.382,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,22H2,Pro,2023/03/21,22621.1413,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,22H2,Pro,2023/02/21,22621.1265,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,22H2,Pro,2023/01/17,22621.1105,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/09/20,22000.978,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/08/16,22000.856,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/07/19,22000.795,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/06/21,22000.739,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/05/17,22000.675,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/04/19,22000.613,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/03/15,22000.556,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/02/15,22000.493,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/01/11,22000.434,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2021/12/14,22000.376,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2021/11/09,22000.318,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2021/09/16,22000.194,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2023/03/21,22000.1696,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2023/02/21,22000.1574,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2023/01/17,22000.1455,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/12/20,22000.1335,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/11/15,22000.1219,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro,2022/10/18,22000.1098,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
200,0,Error,Microsoft-Windows-Bluetooth-BthMini/Operational,BthMini_DriverPnP,,_BTHMINI_KEYWORD,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Bluetooth Transport Extensibility Miniport driver does not support Lower Filter Driver BthXDDI version Major({Major}) Minor({Minor}) Service({Service}).,{Major} | {Minor} | {Service}
