Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H2,Pro,2022/06/21,19044.1766,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H2,Pro,2022/05/17,19044.1706,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H2,Pro,2022/04/19,19044.1645,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H2,Pro,2022/01/11,19044.1466,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
