Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H2,Pro,2022/06/21,19044.1766,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H2,Pro,2022/05/17,19044.1706,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H2,Pro,2022/04/19,19044.1645,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H2,Pro,2022/01/11,19044.1466,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H2,Pro,2021/10/12,19044.1288,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2021/04/13,19043.928,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2022/06/21,19043.1766,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2022/05/17,19043.1706,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2022/04/19,19043.1645,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2022/01/11,19043.1466,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H2,Pro,2021/12/14,19043.1415,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2021/12/14,19043.1415,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2021/11/09,19043.1348,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2021/10/12,19043.1288,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2021/09/14,19043.1237,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2021/08/10,19043.1165,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2021/07/13,19043.111,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,21H1,Pro,2021/06/08,19043.1052,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,20H2,Pro,2022/04/19,19042.1645,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,20H2,Pro,2022/01/11,19042.1466,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,20H2,Pro,2021/05/11,19041.985,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,2004,Pro,2021/05/11,19041.985,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,20H2,Pro,2021/04/13,19041.928,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,2004,Pro,2021/04/13,19041.928,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,20H2,Pro,2021/03/09,19041.867,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,2004,Pro,2021/03/09,19041.867,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,20H2,Pro,2021/02/09,19041.804,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,2004,Pro,2021/02/09,19041.804,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,20H2,Pro,2021/01/12,19041.746,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,2004,Pro,2021/01/12,19041.746,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,20H2,Pro,2020/12/08,19041.685,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,2004,Pro,2020/12/08,19041.685,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
1,0,Information,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Windows 10,20H2,Pro,2020/11/19,19041.631,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage},{MasterKeyGUID} | {UserStorage}
