Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 11,21H2,Pro,2022/07/19,19044.1826,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 11,21H1,Pro,2022/07/19,19043.1826,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
1000,0,Critical,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,A Windows Storage Provider failed to load.Provider:		{ProviderName}Provider DLL:	{ProviderDLL}Error Code:	{ErrorCode}Load Phase:	{LoadPhase}This failure is indicative of a bad installation; or a missing or corrupt DLL.,{ProviderName} | {ProviderDLL} | {ErrorCode} | {LoadPhase}
