Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Error,Application,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
0,0,Error,Application,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Failed instantiating third-party spellchecking provider: CLSID {clsid}; HRESULT {hresult}.,{clsid} | {hresult}
