Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
13003,0,Information,Microsoft-Windows-WLAN-AutoConfig/Operational,,,Credential,Windows 11,21H2,Pro,2022/07/19,22000.795,The pre-logon connection attempt is complete.Network connection attempt result: {Result}Reason: {Reason}Interface GUID: {InterfaceGuid}Profile Name: {ProfileName},{Result} | {Reason} | {InterfaceGuid} | {ProfileName}
13003,0,Information,Microsoft-Windows-WLAN-AutoConfig/Operational,,,Credential,Windows 11,21H2,Pro,2022/06/21,22000.739,The pre-logon connection attempt is complete.Network connection attempt result: {Result}Reason: {Reason}Interface GUID: {InterfaceGuid}Profile Name: {ProfileName},{Result} | {Reason} | {InterfaceGuid} | {ProfileName}
13003,0,Information,Microsoft-Windows-WLAN-AutoConfig/Operational,,,Credential,Windows 11,21H2,Pro,2022/05/17,22000.675,The pre-logon connection attempt is complete.Network connection attempt result: {Result}Reason: {Reason}Interface GUID: {InterfaceGuid}Profile Name: {ProfileName},{Result} | {Reason} | {InterfaceGuid} | {ProfileName}
13003,0,Information,Microsoft-Windows-WLAN-AutoConfig/Operational,,,Credential,Windows 11,21H2,Pro,2022/04/19,22000.613,The pre-logon connection attempt is complete.Network connection attempt result: {Result}Reason: {Reason}Interface GUID: {InterfaceGuid}Profile Name: {ProfileName},{Result} | {Reason} | {InterfaceGuid} | {ProfileName}
13003,0,Information,Microsoft-Windows-WLAN-AutoConfig/Operational,,,Credential,Windows 11,21H2,Pro,2022/03/15,22000.556,The pre-logon connection attempt is complete.Network connection attempt result: {Result}Reason: {Reason}Interface GUID: {InterfaceGuid}Profile Name: {ProfileName},{Result} | {Reason} | {InterfaceGuid} | {ProfileName}
13003,0,Information,Microsoft-Windows-WLAN-AutoConfig/Operational,,,Credential,Windows 11,21H2,Pro,2022/02/15,22000.493,The pre-logon connection attempt is complete.Network connection attempt result: {Result}Reason: {Reason}Interface GUID: {InterfaceGuid}Profile Name: {ProfileName},{Result} | {Reason} | {InterfaceGuid} | {ProfileName}
13003,0,Information,Microsoft-Windows-WLAN-AutoConfig/Operational,,,Credential,Windows 11,21H2,Pro,2022/01/11,22000.434,The pre-logon connection attempt is complete.Network connection attempt result: {Result}Reason: {Reason}Interface GUID: {InterfaceGuid}Profile Name: {ProfileName},{Result} | {Reason} | {InterfaceGuid} | {ProfileName}
13003,0,Information,Microsoft-Windows-WLAN-AutoConfig/Operational,,,Credential,Windows 11,21H2,Pro,2021/12/14,22000.376,The pre-logon connection attempt is complete.Network connection attempt result: {Result}Reason: {Reason}Interface GUID: {InterfaceGuid}Profile Name: {ProfileName},{Result} | {Reason} | {InterfaceGuid} | {ProfileName}
13003,0,Information,Microsoft-Windows-WLAN-AutoConfig/Operational,,,Credential,Windows 11,21H2,Pro,2021/11/09,22000.318,The pre-logon connection attempt is complete.Network connection attempt result: {Result}Reason: {Reason}Interface GUID: {InterfaceGuid}Profile Name: {ProfileName},{Result} | {Reason} | {InterfaceGuid} | {ProfileName}
13003,0,Information,Microsoft-Windows-WLAN-AutoConfig/Operational,,,Credential,Windows 11,21H2,Pro,2021/09/16,22000.194,The pre-logon connection attempt is complete.Network connection attempt result: {Result}Reason: {Reason}Interface GUID: {InterfaceGuid}Profile Name: {ProfileName},{Result} | {Reason} | {InterfaceGuid} | {ProfileName}
13003,0,Information,Microsoft-Windows-WLAN-AutoConfig/Operational,,,Credential,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,The pre-logon connection attempt is complete.Network connection attempt result: {Result}Reason: {Reason}Interface GUID: {InterfaceGuid}Profile Name: {ProfileName},{Result} | {Reason} | {InterfaceGuid} | {ProfileName}
