Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,,Microsoft-Windows-Crypto-RSAEnh/Analytic,OperationFailed,,,Windows 10,2004,Pro,2021/05/11,19041.985,Operation failed. Operation Type: 	{OperationType} Process: 	{ProcessName} Error code: 	{Status},{OperationType} | {ProcessName} | {Status}
1,0,,Microsoft-Windows-Crypto-RSAEnh/Analytic,OperationFailed,,,Windows 10,20H2,Pro,2021/05/11,19041.985,Operation failed. Operation Type: 	{OperationType} Process: 	{ProcessName} Error code: 	{Status},{OperationType} | {ProcessName} | {Status}
1,0,,Microsoft-Windows-Crypto-RSAEnh/Analytic,OperationFailed,,,Windows 10,2004,Pro,2021/04/13,19041.928,Operation failed. Operation Type: 	{OperationType} Process: 	{ProcessName} Error code: 	{Status},{OperationType} | {ProcessName} | {Status}
1,0,,Microsoft-Windows-Crypto-RSAEnh/Analytic,OperationFailed,,,Windows 10,20H2,Pro,2021/04/13,19041.928,Operation failed. Operation Type: 	{OperationType} Process: 	{ProcessName} Error code: 	{Status},{OperationType} | {ProcessName} | {Status}
1,0,,Microsoft-Windows-Crypto-RSAEnh/Analytic,OperationFailed,,,Windows 10,2004,Pro,2021/03/09,19041.867,Operation failed. Operation Type: 	{OperationType} Process: 	{ProcessName} Error code: 	{Status},{OperationType} | {ProcessName} | {Status}
1,0,,Microsoft-Windows-Crypto-RSAEnh/Analytic,OperationFailed,,,Windows 10,20H2,Pro,2021/03/09,19041.867,Operation failed. Operation Type: 	{OperationType} Process: 	{ProcessName} Error code: 	{Status},{OperationType} | {ProcessName} | {Status}
1,0,,Microsoft-Windows-Crypto-RSAEnh/Analytic,OperationFailed,,,Windows 10,2004,Pro,2021/02/09,19041.804,Operation failed. Operation Type: 	{OperationType} Process: 	{ProcessName} Error code: 	{Status},{OperationType} | {ProcessName} | {Status}
1,0,,Microsoft-Windows-Crypto-RSAEnh/Analytic,OperationFailed,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Operation failed. Operation Type: 	{OperationType} Process: 	{ProcessName} Error code: 	{Status},{OperationType} | {ProcessName} | {Status}
1,0,,Microsoft-Windows-Crypto-RSAEnh/Analytic,OperationFailed,,,Windows 10,2004,Pro,2021/01/12,19041.746,Operation failed. Operation Type: 	{OperationType} Process: 	{ProcessName} Error code: 	{Status},{OperationType} | {ProcessName} | {Status}
1,0,,Microsoft-Windows-Crypto-RSAEnh/Analytic,OperationFailed,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Operation failed. Operation Type: 	{OperationType} Process: 	{ProcessName} Error code: 	{Status},{OperationType} | {ProcessName} | {Status}
