Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 11,21H2,Pro,2022/12/20,22000.1335,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 11,21H2,Pro,2022/11/15,22000.1219,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
