Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2016,1607,Standard,2016/11/08,14393.447,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2016,1607,Standard,2016/10/12,14393.0,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2022,21H2,Standard,2021/09/14,20348.230,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows Server 2022,21H2,Standard,2021/11/09,20348.350,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows 10,1803,Pro,2019/08/13,17134.950,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows 10,1803,Pro,2019/09/10,17134.1006,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows 10,1803,Pro,2019/01/08,17763.253,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows 10,1803,Pro,2019/03/12,17134.648,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
1000,0,Information,Operational,Navigation Start,Start,AuthHost,Windows 10,1803,Pro,1970/01/01,17134.1,AuthHost started at URL: <{StartUrl}> until matching termination URL: <{TerminateUrl}!S!>.,{StartUrl} | {TerminateUrl}
