Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 11,21H2,Pro,2022/07/19,19044.1826,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
