Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H1,Pro,2022/01/11,19043.1466,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H2,Pro,2021/12/14,19043.1415,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H1,Pro,2021/12/14,19043.1415,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H1,Pro,2021/11/09,19043.1348,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H1,Pro,2021/10/12,19043.1288,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H1,Pro,2021/09/14,19043.1237,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H1,Pro,2021/08/10,19043.1165,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H1,Pro,2021/07/13,19043.111,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,20H2,Pro,2022/04/19,19042.1645,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,20H2,Pro,2022/01/11,19042.1466,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H2,Pro,2022/03/15,19041.1586,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H1,Pro,2022/03/15,19041.1586,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,20H2,Pro,2022/03/15,19041.1586,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H2,Pro,2022/02/15,19041.1526,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,21H1,Pro,2022/02/15,19041.1526,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,20H2,Pro,2022/02/15,19041.1526,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
