Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Server version: {UInt32_1}Client version: {UInt32_2},{UInt32_1} | {UInt32_2}
1000,0,Information,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Windows 11,21H2,Pro,2022/05/17,22000.675,Server version: {UInt32_1}Client version: {UInt32_2},{UInt32_1} | {UInt32_2}
1000,0,Information,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Server version: {UInt32_1}Client version: {UInt32_2},{UInt32_1} | {UInt32_2}
1000,0,Information,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Server version: {UInt32_1}Client version: {UInt32_2},{UInt32_1} | {UInt32_2}
1000,0,Information,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Server version: {UInt32_1}Client version: {UInt32_2},{UInt32_1} | {UInt32_2}
1000,0,Information,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Server version: {UInt32_1}Client version: {UInt32_2},{UInt32_1} | {UInt32_2}
1000,0,Information,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Server version: {UInt32_1}Client version: {UInt32_2},{UInt32_1} | {UInt32_2}
1000,0,Information,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Server version: {UInt32_1}Client version: {UInt32_2},{UInt32_1} | {UInt32_2}
1000,0,Information,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Server version: {UInt32_1}Client version: {UInt32_2},{UInt32_1} | {UInt32_2}
1000,0,Information,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Server version: {UInt32_1}Client version: {UInt32_2},{UInt32_1} | {UInt32_2}
1000,0,Information,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Server version: {UInt32_1}Client version: {UInt32_2},{UInt32_1} | {UInt32_2}
