Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows Server 2022,21H2,Standard,2023/03/21,20348.1607,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
