Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/07/14,18363.959,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/06/09,18363.9,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/05/12,18363.836,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/04/14,18363.778,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/03/12,18363.72,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/02/11,18363.657,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/01/14,18363.592,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2019/12/10,18363.535,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2019/10/05,18363.418,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2021/06/08,18363.1621,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2021/05/11,18363.1556,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2021/04/13,18363.15,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2021/03/09,18363.144,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2021/02/11,18363.1379,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2021/01/12,18363.1316,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/12/08,18363.1256,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/11/10,18363.1198,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/10/13,18363.1139,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/09/08,18363.1082,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1909,Pro,2020/08/11,18363.1016,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1903,Pro,2020/07/14,18362.959,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1903,Pro,2020/05/12,18362.836,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1903,Pro,2020/03/12,18362.72,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1903,Pro,2020/02/11,18362.657,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1903,Pro,2019/12/10,18362.535,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1903,Pro,2019/11/12,18362.476,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1903,Pro,2019/09/10,18362.356,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
1,1,Verbose,Analytical,,,Payload logging of different types of packets. NCI packet events.,Windows 10,1903,Pro,2019/03/29,18362.3,Write NCI packet payload (MessageType: {MessageType}; PacketBoundaryFlag: {PacketBoundaryFlag}; Size: {PacketSize}).,{MessageType} | {PacketBoundaryFlag} | {PacketSize}
