Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
20001,0,win:Informational,System,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Driver Management concluded the process to install driver {DriverName} for Device Instance ID {DeviceInstanceID} with the following status: {InstallStatus}.,{DriverName} | {DeviceInstanceID} | {InstallStatus}
20002,0,win:Informational,System,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Driver Management concluded the process to remove driver {DriverName} from Device Instance ID {DeviceInstanceID} with the following status: {InstallStatus}.,{DriverName} | {DeviceInstanceID} | {InstallStatus}
20003,0,win:Informational,System,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Driver Management has concluded the process to add Service {ServiceName} for Device Instance ID {DeviceInstanceID} with the following status: {AddServiceStatus}.,{ServiceName} | {DeviceInstanceID} | {AddServiceStatus}
20004,0,win:Informational,System,,,,Windows Server 2008,SP2,Standard,2009/05/26,6002,Driver Management has concluded the process to remove Service {ServiceName} for Device Instance ID {DeviceInstanceID} with the following status: {AddServiceStatus}.,{ServiceName} | {DeviceInstanceID} | {AddServiceStatus}
