Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,22H2,Pro,2023/03/21,19045.2728,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,22H2,Pro,2023/02/21,19045.2604,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,22H2,Pro,2023/01/17,19045.2486,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,22H2,Pro,2022/12/20,19045.2364,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,22H2,Pro,2022/11/15,19045.2251,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2023/03/21,19044.2728,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2023/02/21,19044.2604,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2023/01/17,19044.2486,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2022/12/20,19044.2364,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2022/11/15,19044.2251,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2022/10/18,19044.213,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2022/09/20,19044.2006,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2022/08/16,19044.1889,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2022/07/19,19044.1826,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2022/06/21,19044.1766,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2022/05/17,19044.1706,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2022/04/19,19044.1645,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2022/01/11,19044.1466,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2021/10/12,19044.1288,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2021/04/13,19043.928,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2022/12/20,19043.2364,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2022/11/15,19043.2251,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2022/10/18,19043.213,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2022/09/20,19043.2006,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2022/08/16,19043.1889,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2022/07/19,19043.1826,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2022/06/21,19043.1766,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2022/05/17,19043.1706,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2022/04/19,19043.1645,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2022/01/11,19043.1466,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2021/12/14,19043.1415,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H2,Pro,2021/12/14,19043.1415,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2021/11/09,19043.1348,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2021/10/12,19043.1288,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2021/09/14,19043.1237,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2021/08/10,19043.1165,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2021/07/13,19043.111,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,21H1,Pro,2021/06/08,19043.1052,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,20H2,Pro,2022/04/19,19042.1645,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,20H2,Pro,2022/01/11,19042.1466,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,2004,Pro,2021/05/11,19041.985,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,20H2,Pro,2021/05/11,19041.985,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,2004,Pro,2021/04/13,19041.928,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
1,0,,Microsoft-Windows-Diagnosis-Perfhost/Analytic,,,Errors,Windows 10,20H2,Pro,2021/04/13,19041.928,Function {Function} of the PerfHost service failed with error code {Error}.,{Function} | {Error}
