Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,22H2,Pro,2022/11/15,19045.2251,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2022/11/15,19044.2251,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2022/10/18,19044.213,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2022/09/20,19044.2006,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2022/08/16,19044.1889,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
