Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
2,0,Error,Application,,,,Windows 11,22H2,Pro,2022/12/20,22621.963,Application ({ApplicationName}) (PID: {ProcessId}) is using Windows functionality that is not present in this release of Windows. For obtaining an updated version of the application; please; contact the application vendor. The technical information that needs to be conveyed to the application vendor is this: 'An RPC method using synchronous pipes has been called on on protocol sequence {RPC ProtocolSequence} interface with unique identifier {InterfaceGUID}. Usage and support of synchronous pipes on this protocol sequence has been deprecated for this release of Windows. For information on the deprecation process; please; see http://go.microsoft.com/fwlink/?LinkId=36415.'  User Action Contact the application vendor for updated version of the application.,{ApplicationName} | {ProcessId} | {InterfaceGUID}
2,0,Error,Application,,,,Windows 11,22H2,Pro,2022/11/15,22621.819,Application ({ApplicationName}) (PID: {ProcessId}) is using Windows functionality that is not present in this release of Windows. For obtaining an updated version of the application; please; contact the application vendor. The technical information that needs to be conveyed to the application vendor is this: 'An RPC method using synchronous pipes has been called on on protocol sequence {RPC ProtocolSequence} interface with unique identifier {InterfaceGUID}. Usage and support of synchronous pipes on this protocol sequence has been deprecated for this release of Windows. For information on the deprecation process; please; see http://go.microsoft.com/fwlink/?LinkId=36415.'  User Action Contact the application vendor for updated version of the application.,{ApplicationName} | {ProcessId} | {InterfaceGUID}
2,0,Error,Application,,,,Windows 11,22H2,Pro,2022/10/18,22621.674,Application ({ApplicationName}) (PID: {ProcessId}) is using Windows functionality that is not present in this release of Windows. For obtaining an updated version of the application; please; contact the application vendor. The technical information that needs to be conveyed to the application vendor is this: 'An RPC method using synchronous pipes has been called on on protocol sequence {RPC ProtocolSequence} interface with unique identifier {InterfaceGUID}. Usage and support of synchronous pipes on this protocol sequence has been deprecated for this release of Windows. For information on the deprecation process; please; see http://go.microsoft.com/fwlink/?LinkId=36415.'  User Action Contact the application vendor for updated version of the application.,{ApplicationName} | {ProcessId} | {InterfaceGUID}
2,0,Error,Application,,,,Windows 11,22H2,Pro,2022/09/20,22621.382,Application ({ApplicationName}) (PID: {ProcessId}) is using Windows functionality that is not present in this release of Windows. For obtaining an updated version of the application; please; contact the application vendor. The technical information that needs to be conveyed to the application vendor is this: 'An RPC method using synchronous pipes has been called on on protocol sequence {RPC ProtocolSequence} interface with unique identifier {InterfaceGUID}. Usage and support of synchronous pipes on this protocol sequence has been deprecated for this release of Windows. For information on the deprecation process; please; see http://go.microsoft.com/fwlink/?LinkId=36415.'  User Action Contact the application vendor for updated version of the application.,{ApplicationName} | {ProcessId} | {InterfaceGUID}
2,0,Error,Application,,,,Windows 11,22H2,Pro,2023/02/21,22621.1265,Application ({ApplicationName}) (PID: {ProcessId}) is using Windows functionality that is not present in this release of Windows. For obtaining an updated version of the application; please; contact the application vendor. The technical information that needs to be conveyed to the application vendor is this: 'An RPC method using synchronous pipes has been called on on protocol sequence {RPC ProtocolSequence} interface with unique identifier {InterfaceGUID}. Usage and support of synchronous pipes on this protocol sequence has been deprecated for this release of Windows. For information on the deprecation process; please; see http://go.microsoft.com/fwlink/?LinkId=36415.'  User Action Contact the application vendor for updated version of the application.,{ApplicationName} | {ProcessId} | {InterfaceGUID}
2,0,Error,Application,,,,Windows 11,22H2,Pro,2023/02/21,22621.1265,Application ({ApplicationName}) (PID: {ProcessId}) is using Windows functionality that is not present in this release of Windows. For obtaining an updated version of the application; please; contact the application vendor. The technical information that needs to be conveyed to the application vendor is this: 'An RPC method using synchronous pipes has been called on on protocol sequence {RPC ProtocolSequence} interface with unique identifier {InterfaceGUID}. Usage and support of synchronous pipes on this protocol sequence has been deprecated for this release of Windows. For information on the deprecation process; please; see http://go.microsoft.com/fwlink/?LinkId=36415.'  User Action Contact the application vendor for updated version of the application.,{ApplicationName} | {ProcessId} | {InterfaceGUID}
2,0,Error,Application,,,,Windows 11,22H2,Pro,2023/01/17,22621.1105,Application ({ApplicationName}) (PID: {ProcessId}) is using Windows functionality that is not present in this release of Windows. For obtaining an updated version of the application; please; contact the application vendor. The technical information that needs to be conveyed to the application vendor is this: 'An RPC method using synchronous pipes has been called on on protocol sequence {RPC ProtocolSequence} interface with unique identifier {InterfaceGUID}. Usage and support of synchronous pipes on this protocol sequence has been deprecated for this release of Windows. For information on the deprecation process; please; see http://go.microsoft.com/fwlink/?LinkId=36415.'  User Action Contact the application vendor for updated version of the application.,{ApplicationName} | {ProcessId} | {InterfaceGUID}
2,0,Error,Application,,,,Windows 11,21H2,Pro,2022/09/20,22000.978,Application ({ApplicationName}) (PID: {ProcessId}) is using Windows functionality that is not present in this release of Windows. For obtaining an updated version of the application; please; contact the application vendor. The technical information that needs to be conveyed to the application vendor is this: 'An RPC method using synchronous pipes has been called on on protocol sequence {RPC ProtocolSequence} interface with unique identifier {InterfaceGUID}. Usage and support of synchronous pipes on this protocol sequence has been deprecated for this release of Windows. For information on the deprecation process; please; see http://go.microsoft.com/fwlink/?LinkId=36415.'  User Action Contact the application vendor for updated version of the application.,{ApplicationName} | {ProcessId} | {InterfaceGUID}
2,0,Error,Application,,,,Windows 11,21H2,Pro,2022/08/16,22000.856,Application ({ApplicationName}) (PID: {ProcessId}) is using Windows functionality that is not present in this release of Windows. For obtaining an updated version of the application; please; contact the application vendor. The technical information that needs to be conveyed to the application vendor is this: 'An RPC method using synchronous pipes has been called on on protocol sequence {RPC ProtocolSequence} interface with unique identifier {InterfaceGUID}. Usage and support of synchronous pipes on this protocol sequence has been deprecated for this release of Windows. For information on the deprecation process; please; see http://go.microsoft.com/fwlink/?LinkId=36415.'  User Action Contact the application vendor for updated version of the application.,{ApplicationName} | {ProcessId} | {InterfaceGUID}
2,0,Error,Application,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,Application ({ApplicationName}) (PID: {ProcessId}) is using Windows functionality that is not present in this release of Windows. For obtaining an updated version of the application; please; contact the application vendor. The technical information that needs to be conveyed to the application vendor is this: 'An RPC method using synchronous pipes has been called on on protocol sequence {RPC ProtocolSequence} interface with unique identifier {InterfaceGUID}. Usage and support of synchronous pipes on this protocol sequence has been deprecated for this release of Windows. For information on the deprecation process; please; see http://go.microsoft.com/fwlink/?LinkId=36415.'  User Action Contact the application vendor for updated version of the application.,{ApplicationName} | {ProcessId} | {InterfaceGUID}
2,0,Error,Application,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Application ({ApplicationName}) (PID: {ProcessId}) is using Windows functionality that is not present in this release of Windows. For obtaining an updated version of the application; please; contact the application vendor. The technical information that needs to be conveyed to the application vendor is this: 'An RPC method using synchronous pipes has been called on on protocol sequence {RPC ProtocolSequence} interface with unique identifier {InterfaceGUID}. Usage and support of synchronous pipes on this protocol sequence has been deprecated for this release of Windows. For information on the deprecation process; please; see http://go.microsoft.com/fwlink/?LinkId=36415.'  User Action Contact the application vendor for updated version of the application.,{ApplicationName} | {ProcessId} | {InterfaceGUID}
