Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 11,21H2,Pro,2022/05/17,22000.675,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 11,21H2,Pro,2022/04/19,22000.613,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 11,21H2,Pro,2022/03/15,22000.556,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 11,21H2,Pro,2022/02/15,22000.493,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 11,21H2,Pro,2022/01/11,22000.434,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 11,21H2,Pro,2021/12/14,22000.376,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 11,21H2,Pro,2021/11/09,22000.318,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 11,21H2,Pro,2021/09/16,22000.194,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H2,Pro,2022/05/17,19044.1706,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H2,Pro,2022/04/19,19044.1645,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H2,Pro,2022/01/11,19044.1466,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H2,Pro,2021/10/12,19044.1288,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H1,Pro,2021/04/13,19043.928,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H1,Pro,2022/05/17,19043.1706,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H1,Pro,2022/04/19,19043.1645,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H1,Pro,2022/01/11,19043.1466,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H2,Pro,2021/12/14,19043.1415,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H1,Pro,2021/12/14,19043.1415,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H1,Pro,2021/11/09,19043.1348,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H1,Pro,2021/10/12,19043.1288,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H1,Pro,2021/09/14,19043.1237,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H1,Pro,2021/08/10,19043.1165,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H1,Pro,2021/07/13,19043.111,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,21H1,Pro,2021/06/08,19043.1052,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,20H2,Pro,2022/04/19,19042.1645,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,20H2,Pro,2022/01/11,19042.1466,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,20H2,Pro,2021/05/11,19041.985,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,2004,Pro,2021/05/11,19041.985,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,20H2,Pro,2021/04/13,19041.928,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,2004,Pro,2021/04/13,19041.928,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,20H2,Pro,2021/03/09,19041.867,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,2004,Pro,2021/03/09,19041.867,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
1,0,Information,Microsoft-Windows-Crypto-RNG/Analytic,Gather entropy for the system random number generator,Start,Source registration,Windows 10,20H2,Pro,2021/02/09,19041.804,An entropy source was registered.	Source	{SourceNumber}	Name	{SourceName}	Type	{SourceType},{SourceNumber} | {SourceName} | {SourceType}
