Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
81,0,Information,Application,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2021/05/11,19041.985,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2021/04/13,19041.928,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2021/03/09,19041.867,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2021/02/09,19041.804,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2021/01/12,19041.746,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2020/12/08,19041.685,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2020/11/10,19041.63,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2020/10/13,19041.572,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2020/09/08,19041.508,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2020/08/11,19041.45,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2020/07/14,19041.388,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2020/06/09,19041.329,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2020/05/27,19041.264,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2020/04/16,19041.208,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2021/07/13,19041.111,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/07/14,18363.959,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/06/09,18363.9,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/05/12,18363.836,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/04/14,18363.778,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/03/12,18363.72,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/02/11,18363.657,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/01/14,18363.592,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2019/12/10,18363.535,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2019/10/05,18363.418,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2021/04/13,18363.15,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2021/03/09,18363.144,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2020/07/14,18362.959,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2020/05/12,18362.836,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2020/03/12,18362.72,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2020/02/11,18362.657,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2019/12/10,18362.535,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2019/11/12,18362.476,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2019/09/10,18362.356,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2019/03/29,18362.3,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2019/07/09,18362.239,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2019/06/11,18362.175,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2020/10/13,18362.1139,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2020/09/08,18362.1082,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1903,Pro,2019/12/10,18362.1016,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2020/01/14,17763.973,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2019/12/10,17763.914,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2019/11/12,17763.864,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2019/10/08,17763.805,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2019/09/10,17763.737,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2019/09/10,17763.737,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2019/08/13,17763.678,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2019/08/13,17763.678,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2019/07/09,17763.615,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2019/06/11,17763.557,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2019/05/19,17763.504,{Caption}-{Text},{Caption} | {Text}
