Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
16384,0,Information,,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2023/03/21,22000.1696,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2023/02/21,22000.1574,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2023/01/17,22000.1455,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2022/12/20,22000.1335,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2022/11/15,22000.1219,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
