Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2023/03/21,20348.1607,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2023/02/21,20348.1547,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2023/01/17,20348.1487,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,22H2,Pro,2023/03/21,19045.2728,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,22H2,Pro,2023/02/21,19045.2604,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,22H2,Pro,2023/01/17,19045.2486,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,22H2,Pro,2022/12/20,19045.2364,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,22H2,Pro,2022/11/15,19045.2251,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2023/03/21,19044.2728,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2023/02/21,19044.2604,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2023/01/17,19044.2486,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2022/12/20,19044.2364,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2022/11/15,19044.2251,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2022/10/18,19044.213,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2022/09/20,19044.2006,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2022/08/16,19044.1889,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2022/07/19,19044.1826,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2022/06/21,19044.1766,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2022/05/17,19044.1706,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2022/04/19,19044.1645,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
1,1,Error,EEInfo,RpcClientCall,Stop,,Windows 10,21H2,Pro,2022/01/11,19044.1466,Extended Error Information: 	ProcessName: 	{ImageName} 	ComputerName: 	{ComputerName} 	ProcessId: 	{ProcessID} 	Status: 	{Status} 	DetectionLocation: 	{DetectionLocation},{ImageName} | {ComputerName} | {ProcessID} | {Status} | {DetectionLocation}
