Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2021/09/16,22000.194,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2023/03/21,22000.1696,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2023/02/21,22000.1574,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2023/01/17,22000.1455,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2022/12/20,22000.1335,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2022/11/15,22000.1219,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2022/10/18,22000.1098,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,22H2,Pro,2023/03/21,19045.2728,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,22H2,Pro,2023/02/21,19045.2604,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,22H2,Pro,2023/01/17,19045.2486,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,22H2,Pro,2022/12/20,19045.2364,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,22H2,Pro,2022/11/15,19045.2251,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2023/03/21,19044.2728,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
