Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,2004,Pro,2021/07/13,19041.111,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/07/14,18363.959,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/06/09,18363.9,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/05/12,18363.836,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/04/14,18363.778,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/03/12,18363.72,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/02/11,18363.657,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/01/14,18363.592,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2019/12/10,18363.535,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2019/10/05,18363.418,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2021/04/13,18363.15,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2021/03/09,18363.144,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2020/07/14,18362.959,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2020/05/12,18362.836,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2020/03/12,18362.72,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2020/02/11,18362.657,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2019/12/10,18362.535,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2019/11/12,18362.476,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2019/09/10,18362.356,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
