Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,21H1,Pro,2021/08/10,19043.1165,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,21H1,Pro,2021/07/13,19043.111,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,21H1,Pro,2021/06/08,19043.1052,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2022/04/19,19042.1645,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2022/01/11,19042.1466,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2021/05/11,19041.985,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/05/11,19041.985,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2021/04/13,19041.928,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/04/13,19041.928,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2021/03/09,19041.867,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/03/09,19041.867,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2021/02/09,19041.804,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/02/09,19041.804,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2021/01/12,19041.746,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/01/12,19041.746,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2020/12/08,19041.685,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2020/12/08,19041.685,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2020/11/19,19041.631,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2020/11/10,19041.63,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2020/10/13,19041.572,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2020/09/08,19041.508,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2020/08/11,19041.45,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2020/07/14,19041.388,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2020/06/09,19041.329,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2020/05/27,19041.264,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2020/04/16,19041.208,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,21H1,Pro,2022/03/15,19041.1586,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,21H2,Pro,2022/03/15,19041.1586,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2022/03/15,19041.1586,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,21H1,Pro,2022/02/15,19041.1526,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,21H2,Pro,2022/02/15,19041.1526,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2022/02/15,19041.1526,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/12/14,19041.1415,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2021/11/09,19041.1348,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/11/09,19041.1348,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2021/10/12,19041.1288,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/10/12,19041.1288,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2021/09/14,19041.1237,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/09/14,19041.1237,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2021/08/10,19041.1165,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/08/10,19041.1165,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2021/07/13,19041.111,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/07/13,19041.111,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,2004,Pro,2021/06/08,19041.1052,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,20H2,Pro,2021/06/08,19041.1052,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/07/14,18363.959,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/06/09,18363.9,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/05/12,18363.836,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/04/14,18363.778,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/03/12,18363.72,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/02/11,18363.657,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/01/14,18363.592,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
