Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H1,Pro,2021/04/13,19043.928,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H1,Pro,2022/09/20,19043.2006,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H1,Pro,2022/07/19,19043.1826,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
