Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Networking-RealTimeCommunication,Information,1000,0,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult}
Microsoft-Windows-Networking-RealTimeCommunication,Information,1001,0,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {ChannelStatus}
