Provider|Event ID|Channel|Message
Microsoft-Windows-Hyper-V-VmSwitch|114||Failed to allocate VMQ for NIC {NicName} (Friendly Name: {NicFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}). Reason - {Status}0. Status = {Status}
Microsoft-Windows-Hyper-V-VmSwitch|115||Completed VMQ allocation for NIC {NicName} (Friendly Name: {NicFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}).
Microsoft-Windows-Hyper-V-VmSwitch|116||Switch Team member connected. NIC {NicName} (Friendly Name: {NicFName}) with NicIndex {NicIndex} (NetCfgInstanceId: {SwitchNameLen}0) on switch {SwitchName} (Friendly Name: {SwitchFName}). Status = {SwitchNameLen}1
Microsoft-Windows-Hyper-V-VmSwitch|117||Switch Team member disconnected. NIC {NicName} (Friendly Name: {NicFName}) with NicIndex {NicIndex} (NetCfgInstanceId: {SwitchNameLen}0) on switch {SwitchName} (Friendly Name: {SwitchFName}). Status = {SwitchNameLen}1
Microsoft-Windows-Hyper-V-VmSwitch|118||The external NIC {NicName} (Friendly Name: {NicFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}) is connected to {ConfigurationType}.
Microsoft-Windows-Hyper-V-VmSwitch|119|System|Port {PortName} (Friendly Name: {PortFName}) has MAC address spoofing enabled. This is not supported on the associated switch {SwitchName} (Friendly Name: {SwitchFName}) because IOV is enabled. Traffic with a spoofed MAC address will not function properly.
Microsoft-Windows-Hyper-V-VmSwitch|120|System|The configured bandwidth reservation might not be applied on switch {SwitchName} (Friendly Name: {SwitchFName}) as the external NIC {NicName} (Friendly Name: {NicFName})'s link speed is less than the total reservation configured.
Microsoft-Windows-Hyper-V-VmSwitch|121|System|An extension is attempting to revoke the VF allocated for Port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}).
Microsoft-Windows-Hyper-V-VmSwitch|122|System|VMQ group creation failed with NIC {NicName} (Friendly Name: {NicFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}) with status = {QueueMode}. Reason: {NicNameLen}0.
Microsoft-Windows-Hyper-V-VmSwitch|123||VMQ capabilities received from NIC {NicName} (Friendly Name: {NicFName}): VmqSupported - {VmqSupported}, DynamicVmqSupported - {dynamicVmqSupported}.
