Provider|Event ID|Channel|Message
Microsoft-Windows-Hyper-V-VmbusVdev|1500|Microsoft-Windows-Hyper-V-Worker-Analytic|[Virtual machine {VmId}] {TraceData}
Microsoft-Windows-Hyper-V-VmbusVdev|1510|Microsoft-Windows-Hyper-V-Worker-Analytic|[Virtual machine {VmId}] {TraceData}
Microsoft-Windows-Hyper-V-VmbusVdev|1520|Microsoft-Windows-Hyper-V-Worker-Analytic|[Virtual machine {VmId}] {TraceData}
Microsoft-Windows-Hyper-V-VmbusVdev|1530|Microsoft-Windows-Hyper-V-Worker-Analytic|[Virtual machine {VmId}] {TraceData}
Microsoft-Windows-Hyper-V-VmbusVdev|23012|Microsoft-Windows-Hyper-V-Worker-Admin|The virtual machine {VmName} cannot load device {Device} because there are no mutually supported protocol versions. The server version is {ServerVersion} and the client version is {ClientVersion} (Virtual machine ID {VmId}).
Microsoft-Windows-Hyper-V-VmbusVdev|23013|Microsoft-Windows-Hyper-V-Worker-Admin|The device {Device} cannot be loaded because there are no mutually support protocol versions between the server and client.
