Provider|Event ID|Channel|Message
Microsoft-Windows-RPCSS|1|Debug|An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2}
Microsoft-Windows-RPCSS|2|Debug|Interface registered. 	InterfaceUuid: 	{InterfaceUUID} 	ObjectUuid: 	{ObjectUUID} 	Protocol: 	{Protocol} 	Endpoint: 	{EndPoint}
Microsoft-Windows-RPCSS|3|Debug|Interface unregistered. 	InterfaceUuid: 	{InterfaceUUID} 	ObjectUuid: 	{ObjectUUID} 	Protocol: 	{Protocol} 	Endpoint: 	{EndPoint}
