Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Microsoft-Windows-RPCSS|Error|1|1|Debug|||Debug|An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2}
Microsoft-Windows-RPCSS|Information|2|1|Debug|||Interface register|Interface registered. 	InterfaceUuid: 	{InterfaceUUID} 	ObjectUuid: 	{ObjectUUID} 	Protocol: 	{Protocol} 	Endpoint: 	{EndPoint}
Microsoft-Windows-RPCSS|Information|3|1|Debug|||Interface unregister|Interface unregistered. 	InterfaceUuid: 	{InterfaceUUID} 	ObjectUuid: 	{ObjectUUID} 	Protocol: 	{Protocol} 	Endpoint: 	{EndPoint}
